name,address,distance_mi,lat,lon,osm_id,ring
Burbank Fire Station 13,No address tags,28.961154076122625,34.1958384,-118.3411896,358784348,25-50 miles
Fire Station 3,No address tags,31.270127843375526,34.0288986,-118.48258,368167710,25-50 miles
Redlands Fire Station #1,No address tags,45.16403622028801,34.0557878,-117.1763429,368167850,25-50 miles
Fire Station #3,No address tags,45.055159889617194,34.0739019,-117.1828161,368167856,25-50 miles
Fire Station Number 2,No address tags,46.01436882966612,34.0261258,-117.155314,368167857,25-50 miles
Glendale Fire Station 27,"1127 Western Avenue, Glendale, 91201",25.624965125613244,34.1720939,-118.2890972,368168022,25-50 miles
Burbank Fire Station Number 15,1420 West Verdugo Avenue,26.874780975012285,34.168366,-118.3209603,368168023,25-50 miles
Burbank Fire Station Number 12,No address tags,27.695707583244307,34.1626056,-118.3439821,368168024,25-50 miles
Los Angeles County Fire Department Station #110,No address tags,28.81681731773102,33.9839323,-118.448597,368168317,25-50 miles
Beverly Hills Fire Station 2,No address tags,28.66438070466283,34.0904136,-118.4115451,368168346,25-50 miles
Culver City Fire Station 2,No address tags,27.078852687953326,34.0051644,-118.41378,368168355,25-50 miles
Culver City Fire Station 1,"Culver City, 90232",26.290278507669324,34.0225534,-118.395057,368168358,25-50 miles
Los Angeles County Fire Department Station #2,No address tags,26.885185780918675,33.7999566,-118.391663,368168406,25-50 miles
Los Angeles County Fire Department Station #8,No address tags,25.803864431000537,34.0910321,-118.356496,368168410,25-50 miles
Los Angeles County Department Station #63,No address tags,26.584070223884865,34.2278574,-118.2440444,368168509,25-50 miles
Los Angeles County Fire Department Station #68,No address tags,43.03278888792142,34.1517443,-118.6523626,368168622,25-50 miles
Santa Monica Fire Station 1,No address tags,31.627076559633622,34.0178482,-118.4917042,368168705,25-50 miles
San Bernardino County Fire Department County Community Safety Division Building,No address tags,39.13608943177057,34.0900935,-117.2945563,368168860,25-50 miles
San Manuel Fire Department,No address tags,44.37697933029264,34.150106,-117.221851,368168861,25-50 miles
County Fire Station Number Seventynine,No address tags,36.6276429423716,34.4549964,-117.861175,368168879,25-50 miles
Riverside Fire Department Station #10,No address tags,31.369728703618847,33.919641,-117.402985,368168880,25-50 miles
Riverside Fire Department Station #1,No address tags,33.3589003698119,33.9806886,-117.371155,368168881,25-50 miles
Riverside Fire Department Station #4,Riverside,34.90246221173647,33.9790694,-117.3438912,368168885,25-50 miles
Riverside Fire Department Station #2,No address tags,29.081243460815873,33.91727,-117.442998,368168887,25-50 miles
Riverside Fire Department Station #8,No address tags,26.513273090619744,33.9187775,-117.4877502,368168889,25-50 miles
Riverside Fire Department Station #7,No address tags,27.169605021104324,33.9432077,-117.476304,368168890,25-50 miles
Riverside Fire Department Station #6,No address tags,34.37884961112362,34.0060983,-117.3571102,368168891,25-50 miles
Los Angeles County Fire Department Station #80,No address tags,40.0717501430063,34.4877774,-118.142097,368168895,25-50 miles
Texas Canyon Fire Control Station,No address tags,49.20968341241819,34.5097146,-118.4503605,368168905,25-50 miles
Area 4 Work Center Fire Station,No address tags,36.018839556832795,34.4449968,-117.8522857,368168917,25-50 miles
USDA Forest Service Bear Divide Station,No address tags,39.13483641979648,34.3590383,-118.3967946,616696425,25-50 miles
U.S. Forest Service Temescal Fire Station,No address tags,29.14890263834095,33.7622047,-117.4839542,826794566,25-50 miles
U.S. Forest Service El Cariso Fire Station,"Ortega Highway, Lake Elsinore, 92530",36.38225167036594,33.6508237,-117.4127913,835835799,25-50 miles
Riverside Fire Department Station #11,No address tags,36.11336844605444,33.8943143,-117.321666,1234168806,25-50 miles
Riverside Fire Department Station #12,No address tags,27.979200183196063,33.9013239,-117.4632585,1532417635,25-50 miles
Riverside County Fire Station #3,No address tags,47.58562349484017,33.8245946,-117.1302355,1691308828,25-50 miles
Riverside County Fire Station #4,No address tags,33.84802880500769,33.8391009,-117.3701417,1691357680,25-50 miles
Riverside County Fire Station #5,"29745 Goetz Road, Menifee, 92587",44.049456558704634,33.6884408,-117.239928,1691358085,25-50 miles
Riverside County Fire Department Station #6,No address tags,38.697545401796326,33.9322496,-117.2749843,1692590095,25-50 miles
Riverside County Fire Department Station #8,No address tags,33.256667948340876,33.879537,-117.3732626,1692593527,25-50 miles
Riverside County Fire Department Station #9,No address tags,39.991794599852724,33.762304,-117.2829878,1692594491,25-50 miles
Riverside County Fire Department Station #11,No address tags,39.898701225720544,33.6409772,-117.3485004,1692595683,25-50 miles
Riverside County Fire Department Station #16,No address tags,26.75202070679017,33.9753156,-117.4864411,1692644786,25-50 miles
CAL FIRE/Riverside County Fire Department Station #18,No address tags,29.319399361008323,34.012436,-117.4480742,1692654354,25-50 miles
Riverside County Fire Department Station #19,No address tags,36.5203672320152,34.0159374,-117.3211238,1692658566,25-50 miles
Riverside County Fire Department Station #38,No address tags,31.315435517748092,33.9988583,-117.4098789,1695278284,25-50 miles
Riverside County Fire Department Station #51,No address tags,36.345971780801975,33.6507949,-117.4135584,1695369632,25-50 miles
Riverside County Fire Department Station #54,No address tags,48.859937610306304,33.7474974,-117.1274735,1695377832,25-50 miles
Riverside County Fire Department Station #58,No address tags,44.50673381081996,33.9377026,-117.1736764,1696972765,25-50 miles
Riverside County Fire Department Station #59,No address tags,38.62390504318751,33.8321248,-117.2870601,1696973598,25-50 miles
Riverside County Fire Department Station #61,No address tags,44.66213312749294,33.6041958,-117.2784223,1696985481,25-50 miles
Riverside County Fire Department Station #64,No address tags,30.846873029136027,33.7519893,-117.4570662,1699119361,25-50 miles
Riverside County Fire Department Station #65,No address tags,41.02086291494413,33.9018153,-117.2353863,1699120098,25-50 miles
Riverside County Fire Department Station #68,No address tags,46.96814386020714,33.6490283,-117.2052056,1699129001,25-50 miles
Riverside County Fire Department Station #75,No address tags,46.76777352372748,33.5652475,-117.2642607,1699161166,25-50 miles
